engine,policy,terrain,case,seed,outcome,failure_flags,completed,physical_traversal,unsafe_reasons,unsafe_time_s,hard_joint_margin_min_rad,wheel_speed_max_rad_s,wheel_saturation_max_fraction
Isaac,19999,flat,precision_vy_+0.10,7204,tracking_failure,tracking_failure,True,,,,0.8145610690116882,6.610701084136963,0.0
Isaac,19999,flat,precision_vy_+0.10,7205,tracking_failure,tracking_failure,True,,,,0.8136097192764282,7.994578838348389,0.0
Isaac,19999,flat,precision_vy_+0.10,7206,tracking_failure,tracking_failure,True,,,,0.8229061961174011,7.31012487411499,0.0
Isaac,19999,flat,precision_vy_+0.10,7207,tracking_failure,tracking_failure,True,,,,0.814731240272522,9.545064926147461,0.0
Isaac,19999,flat,precision_vy_+0.10,7208,tracking_failure,tracking_failure,True,,,,0.8124516606330872,7.8101091384887695,0.0
Isaac,19999,flat,precision_vy_+0.10,7209,tracking_failure,tracking_failure,True,,,,0.8107377290725708,7.47159481048584,0.0
Isaac,19999,flat,precision_vy_+0.10,7210,tracking_failure,tracking_failure,True,,,,0.8131877779960632,5.915928363800049,0.0
Isaac,19999,flat,precision_vy_+0.10,7211,tracking_failure,tracking_failure,True,,,,0.8167583346366882,9.865346908569336,0.0
Isaac,19999,flat,precision_vy_+0.10,7212,tracking_failure,tracking_failure,True,,,,0.8231427073478699,6.630342960357666,0.0
Isaac,19999,flat,precision_vy_+0.10,7213,tracking_failure,tracking_failure,True,,,,0.8184714317321777,8.176071166992188,0.0
Isaac,19999,flat,precision_vy_+0.10,7214,tracking_failure,tracking_failure,True,,,,0.8140808939933777,8.533358573913574,0.0
Isaac,19999,flat,precision_vy_+0.10,7215,tracking_failure,tracking_failure,True,,,,0.8157745599746704,7.218381404876709,0.0
Isaac,19999,flat,precision_vy_+0.10,7216,tracking_failure,tracking_failure,True,,,,0.8143956661224365,7.99412727355957,0.0
Isaac,19999,flat,precision_wz_-0.10,7201,tracking_failure,tracking_failure,True,,,,0.8358256220817566,9.050861358642578,0.0
Isaac,19999,flat,precision_wz_-0.10,7202,tracking_failure,tracking_failure,True,,,,0.8287503719329834,8.781846046447754,0.0
Isaac,19999,flat,precision_wz_-0.10,7203,tracking_failure,tracking_failure,True,,,,0.8377158641815186,7.968195915222168,0.0
Isaac,19999,flat,precision_wz_-0.10,7204,tracking_failure,tracking_failure,True,,,,0.8304563164710999,6.610701084136963,0.0
Isaac,19999,flat,precision_wz_-0.10,7205,tracking_failure,tracking_failure,True,,,,0.8249599933624268,7.994578838348389,0.0
Isaac,19999,flat,precision_wz_-0.10,7206,tracking_failure,tracking_failure,True,,,,0.8389394879341125,7.31012487411499,0.0
Isaac,19999,flat,precision_wz_-0.10,7207,tracking_failure,tracking_failure,True,,,,0.8309898376464844,9.545064926147461,0.0
Isaac,19999,flat,precision_wz_-0.10,7208,tracking_failure,tracking_failure,True,,,,0.8352066278457642,7.8101091384887695,0.0
Isaac,19999,flat,precision_wz_-0.10,7209,tracking_failure,tracking_failure,True,,,,0.8321993947029114,7.47159481048584,0.0
Isaac,19999,flat,precision_wz_-0.10,7210,tracking_failure,tracking_failure,True,,,,0.8330094814300537,5.915928363800049,0.0
Isaac,19999,flat,precision_wz_-0.10,7211,tracking_failure,tracking_failure,True,,,,0.826285719871521,9.865346908569336,0.0
Isaac,19999,flat,precision_wz_-0.10,7212,tracking_failure,tracking_failure,True,,,,0.8346096277236938,6.630342960357666,0.0
Isaac,19999,flat,precision_wz_-0.10,7213,tracking_failure,tracking_failure,True,,,,0.8308933973312378,8.176071166992188,0.0
Isaac,19999,flat,precision_wz_-0.10,7214,tracking_failure,tracking_failure,True,,,,0.8297158479690552,8.533358573913574,0.0
Isaac,19999,flat,precision_wz_-0.10,7215,tracking_failure,tracking_failure,True,,,,0.832186222076416,7.218381404876709,0.0
Isaac,19999,flat,precision_wz_-0.10,7216,tracking_failure,tracking_failure,True,,,,0.8314018845558167,7.99412727355957,0.0
Isaac,19999,flat,precision_wz_+0.10,7201,tracking_failure,tracking_failure,True,,,,0.8205075263977051,9.050861358642578,0.0
Isaac,19999,flat,precision_wz_+0.10,7202,tracking_failure,tracking_failure,True,,,,0.7993061542510986,8.781846046447754,0.0
Isaac,19999,flat,precision_wz_+0.10,7203,tracking_failure,tracking_failure,True,,,,0.8254157900810242,7.968195915222168,0.0
Isaac,19999,flat,precision_wz_+0.10,7204,tracking_failure,tracking_failure,True,,,,0.8149712085723877,6.610701084136963,0.0
Isaac,19999,flat,precision_wz_+0.10,7205,tracking_failure,tracking_failure,True,,,,0.8109668493270874,7.994578838348389,0.0
Isaac,19999,flat,precision_wz_+0.10,7206,tracking_failure,tracking_failure,True,,,,0.8253737092018127,7.31012487411499,0.0
Isaac,19999,flat,precision_wz_+0.10,7207,tracking_failure,tracking_failure,True,,,,0.8211394548416138,9.545064926147461,0.0
Isaac,19999,flat,precision_wz_+0.10,7208,tracking_failure,tracking_failure,True,,,,0.817035973072052,7.8101091384887695,0.0
Isaac,19999,flat,precision_wz_+0.10,7209,tracking_failure,tracking_failure,True,,,,0.8289704322814941,7.47159481048584,0.0
Isaac,19999,flat,precision_wz_+0.10,7210,tracking_failure,tracking_failure,True,,,,0.8124639987945557,5.915928363800049,0.0
Isaac,19999,flat,precision_wz_+0.10,7211,tracking_failure,tracking_failure,True,,,,0.8184823989868164,9.865346908569336,0.0
Isaac,19999,flat,precision_wz_+0.10,7212,tracking_failure,tracking_failure,True,,,,0.8208303451538086,6.630342960357666,0.0
Isaac,19999,flat,precision_wz_+0.10,7213,tracking_failure,tracking_failure,True,,,,0.8231000304222107,8.176071166992188,0.0
Isaac,19999,flat,precision_wz_+0.10,7214,tracking_failure,tracking_failure,True,,,,0.8129973411560059,8.533358573913574,0.0
Isaac,19999,flat,precision_wz_+0.10,7215,tracking_failure,tracking_failure,True,,,,0.8146075010299683,7.218381404876709,0.0
Isaac,19999,flat,precision_wz_+0.10,7216,tracking_failure,tracking_failure,True,,,,0.8132990598678589,7.99412727355957,0.0
Isaac,19999,flat,diagonal,7201,command_transition_failure,command_transition_failure,True,,,,0.6237525939941406,22.202163696289062,0.00034090909090909094
Isaac,19999,flat,diagonal,7202,success,,True,,,,0.6216892600059509,19.663978576660156,0.0006818181818181819
Isaac,19999,flat,diagonal,7203,success,,True,,,,0.6113119721412659,20.53394317626953,0.00034090909090909094
Isaac,19999,flat,diagonal,7204,command_transition_failure,command_transition_failure,True,,,,0.6167891621589661,21.515594482421875,0.00022727272727272727
Isaac,19999,flat,diagonal,7205,command_transition_failure,command_transition_failure,True,,,,0.60016930103302,20.910581588745117,0.00034090909090909094
Isaac,19999,flat,diagonal,7206,success,,True,,,,0.6151611804962158,21.231735229492188,0.00022727272727272727
Isaac,19999,flat,diagonal,7207,command_transition_failure,command_transition_failure,True,,,,0.614454984664917,21.63811492919922,0.00034090909090909094
Isaac,19999,flat,diagonal,7208,command_transition_failure,command_transition_failure,True,,,,0.6128517985343933,22.497724533081055,0.00034090909090909094
Isaac,19999,flat,diagonal,7209,command_transition_failure,command_transition_failure,True,,,,0.6095452308654785,19.416412353515625,0.00022727272727272727
Isaac,19999,flat,diagonal,7210,command_transition_failure,command_transition_failure,True,,,,0.6244837641716003,21.85232925415039,0.00022727272727272727
Isaac,19999,flat,diagonal,7211,command_transition_failure,command_transition_failure,True,,,,0.6775104999542236,21.708240509033203,0.00022727272727272727
Isaac,19999,flat,diagonal,7212,success,,True,,,,0.6242928504943848,20.278249740600586,0.00011363636363636364
Isaac,19999,flat,diagonal,7213,command_transition_failure,command_transition_failure,True,,,,0.6283444166183472,20.004283905029297,0.00022727272727272727
